quantization,execution_mode,idx,op_type,dst,dst_type,dst_buft,src0,src0_buft,block_index,logical_layer,tensor_role,assigned_backend,prefill_us,decode_us,timing_source,fused_note
Q4_0,HTP0,0,MUL_MAT,Qcur-0,f32,HTP0,blk.0.attn_q.weight,HTP0-REPACK,0,blk.0,attn_q,HTP0,20,86,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,1,MUL_MAT,Vcur-0,f32,HTP0,blk.0.attn_v.weight,HTP0-REPACK,0,blk.0,attn_v,HTP0,260,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,2,MUL_MAT,Kcur-0,f32,HTP0,blk.0.attn_k.weight,HTP0-REPACK,0,blk.0,attn_k,HTP0,239,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,3,RMS_NORM,norm-0,f32,HTP0,Qcur-0,HTP0,0,blk.0,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,4,ROPE,Qcur-0,f32,HTP0,Qcur_normed-0,HTP0,0,blk.0,attn_q,HTP0,20,86,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,5,RMS_NORM,norm-0,f32,HTP0,Kcur-0,HTP0,0,blk.0,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,6,ROPE,Kcur-0,f32,HTP0,Kcur_normed-0,HTP0,0,blk.0,attn_k,HTP0,239,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,7,SET_ROWS,cache_k_l0 (view),f16,HTP0,Kcur-0 (view),HTP0,0,blk.0,attn_k,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,8,SET_ROWS,cache_v_l0 (view),f16,HTP0,Vcur-0 (view),HTP0,0,blk.0,attn_v,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,9,FLASH_ATTN_EXT,__fattn__-0,f32,HTP0,Qcur-0 (view) (permuted),HTP0,0,blk.0,attn_q,HTP0,273,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,10,MUL_MAT,attn_out-0,f32,HTP0,blk.0.attn_output.weight,HTP0-REPACK,0,blk.0,attn_output,HTP0,451,66,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,11,RMS_NORM,norm-0,f32,HTP0,attn_out-0,HTP0,0,blk.0,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,12,ADD,ffn_inp-0,f32,HTP0,attn_post_norm-0,HTP0,0,blk.0,norm,HTP0,210,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,13,MUL_MAT,ffn_gate-0,f32,HTP0,blk.0.ffn_gate.weight,HTP0-REPACK,0,blk.0,ffn_gate,HTP0,753,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,14,MUL_MAT,ffn_up-0,f32,HTP0,blk.0.ffn_up.weight,HTP0-REPACK,0,blk.0,ffn_up,HTP0,775,201,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,15,GLU,ffn_swiglu-0,f32,HTP0,ffn_gate-0,HTP0,0,blk.0,ffn_gate,HTP0,697,11,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,16,MUL_MAT,ffn_out-0,f32,HTP0,blk.0.ffn_down.weight,HTP0-REPACK,0,blk.0,ffn_down,HTP0,786,100,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,17,RMS_NORM,norm,f32,HTP0,ffn_out-0,HTP0,,norm,norm,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,18,ADD,l_out-0,f32,HTP0,ffn_post_norm,HTP0,,ffn_post_norm,norm,HTP0,234,2,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,19,MUL_MAT,Qcur-1,f32,HTP0,blk.1.attn_q.weight,HTP0-REPACK,1,blk.1,attn_q,HTP0,15,84,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,20,MUL_MAT,Vcur-1,f32,HTP0,blk.1.attn_v.weight,HTP0-REPACK,1,blk.1,attn_v,HTP0,235,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,21,MUL_MAT,Kcur-1,f32,HTP0,blk.1.attn_k.weight,HTP0-REPACK,1,blk.1,attn_k,HTP0,232,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,22,RMS_NORM,norm-1,f32,HTP0,Qcur-1,HTP0,1,blk.1,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,23,ROPE,Qcur-1,f32,HTP0,Qcur_normed-1,HTP0,1,blk.1,attn_q,HTP0,15,84,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,24,RMS_NORM,norm-1,f32,HTP0,Kcur-1,HTP0,1,blk.1,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,25,ROPE,Kcur-1,f32,HTP0,Kcur_normed-1,HTP0,1,blk.1,attn_k,HTP0,232,7,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,26,SET_ROWS,cache_k_l1 (view),f16,HTP0,Kcur-1 (view),HTP0,1,blk.1,attn_k,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,27,SET_ROWS,cache_v_l1 (view),f16,HTP0,Vcur-1 (view),HTP0,1,blk.1,attn_v,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,28,FLASH_ATTN_EXT,__fattn__-1,f32,HTP0,Qcur-1 (view) (permuted),HTP0,1,blk.1,attn_q,HTP0,261,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,29,MUL_MAT,attn_out-1,f32,HTP0,blk.1.attn_output.weight,HTP0-REPACK,1,blk.1,attn_output,HTP0,449,54,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,30,RMS_NORM,norm-1,f32,HTP0,attn_out-1,HTP0,1,blk.1,attn_output,HTP0,,,확인불가,HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,31,ADD,ffn_inp-1,f32,HTP0,attn_post_norm-1,HTP0,1,blk.1,norm,HTP0,226,6,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,32,MUL_MAT,ffn_gate-1,f32,HTP0,blk.1.ffn_gate.weight,HTP0-REPACK,1,blk.1,ffn_gate,HTP0,749,,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,33,MUL_MAT,ffn_up-1,f32,HTP0,blk.1.ffn_up.weight,HTP0-REPACK,1,blk.1,ffn_up,HTP0,778,218,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,34,GLU,ffn_swiglu-1,f32,HTP0,ffn_gate-1,HTP0,1,blk.1,ffn_gate,HTP0,692,10,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
Q4_0,HTP0,35,MUL_MAT,ffn_out-1,f32,HTP0,blk.1.ffn_down.weight,HTP0-REPACK,1,blk.1,ffn_down,HTP0,797,119,profile-op(name),HTP op-fusion 가능(dst 1개에 여러 matmul 융합) — 값은 융합그룹 기준일 수 있음
